Search Type, N, Target, Guesses
Linear Search: Size 116000 | Average Guesses = 38790.1 
Binary Search: Size 116000 | Average Guesses =  16.1
Linear Search: Size 116500 | Average Guesses = 54664.5 
Binary Search: Size 116500 | Average Guesses =  16.2
Binary Search: Size 117000 | Average Guesses =  15.7
Linear Search: Size 117000 | Average Guesses = 63944 
Linear Search: Size 117500 | Average Guesses = 49923 
Binary Search: Size 117500 | Average Guesses =  14.3
Linear Search: Size 118000 | Average Guesses = 43920.8 
Binary Search: Size 118000 | Average Guesses =  16.5
Binary Search: Size 118500 | Average Guesses =  16
Linear Search: Size 118500 | Average Guesses = 58112.7 
Linear Search: Size 94500 | Average Guesses = 58229.6 
Binary Search: Size 115000 | Average Guesses =  15.6
Linear Search: Size 119500 | Average Guesses = 52591.9 
Linear Search: Size 119000 | Average Guesses = 54942.8 
Linear Search: Size 120000 | Average Guesses = 48740.5 
Binary Search: Size 120000 | Average Guesses =  15
Binary Search: Size 120500 | Average Guesses =  15.5
Linear Search: Size 120500 | Average Guesses = 51381.3 
Linear Search: Size 121000 | Average Guesses = 47071.5 
Binary Search: Size 121000 | Average Guesses =  15.9
Linear Search: Size 121500 | Average Guesses = 78483.4 
Binary Search: Size 121500 | Average Guesses =  15.8
Binary Search: Size 122000 | Average Guesses =  15.5
Linear Search: Size 122000 | Average Guesses = 48868.2 
Linear Search: Size 122500 | Average Guesses = 76024.9 
Binary Search: Size 122500 | Average Guesses =  16
Linear Search: Size 123000 | Average Guesses = 44428.4 
Binary Search: Size 114500 | Average Guesses =  15.3
Linear Search: Size 123500 | Average Guesses = 77377.8 
Binary Search: Size 123500 | Average Guesses =  15.5
Linear Search: Size 124000 | Average Guesses = 49934.5 
Binary Search: Size 124000 | Average Guesses =  15.9
Linear Search: Size 124500 | Average Guesses = 73999.2 
Binary Search: Size 124500 | Average Guesses =  16.2
Linear Search: Size 125000 | Average Guesses = 51842.8 
Binary Search: Size 125000 | Average Guesses =  16.2
Linear Search: Size 125500 | Average Guesses = 61054.3 
Binary Search: Size 125500 | Average Guesses =  14.8
Linear Search: Size 126000 | Average Guesses = 62382.4 
Binary Search: Size 126000 | Average Guesses =  16.8
Binary Search: Size 123000 | Average Guesses =  16.4
Binary Search: Size 126500 | Average Guesses =  16.3
Linear Search: Size 126500 | Average Guesses = 50784.7 
Linear Search: Size 127000 | Average Guesses = 48669.1 
Linear Search: Size 127500 | Average Guesses = 73419.4 
Binary Search: Size 119000 | Average Guesses =  15.7
Linear Search: Size 128000 | Average Guesses = 58085.1 
Binary Search: Size 128000 | Average Guesses =  16.3
